precinct,party,candidate,votes
117,,Anthony Bradshaw,67
117,,Celia Israel,505
117,,Gary S. Spellman,51
117,,Jennifer Virden,378
117,,Kirk Watson,458
117,,Over Votes,0
117,,Phil Campero Brual,86
117,,Under Votes,527
118,,Anthony Bradshaw,30
118,,Celia Israel,429
118,,Gary S. Spellman,35
118,,Jennifer Virden,456
118,,Kirk Watson,573
118,,Over Votes,0
118,,Phil Campero Brual,42
118,,Under Votes,261
138,,Anthony Bradshaw,0
138,,Celia Israel,0
138,,Gary S. Spellman,0
138,,Jennifer Virden,0
138,,Kirk Watson,0
138,,Over Votes,0
138,,Phil Campero Brual,0
138,,Under Votes,0
147,,Anthony Bradshaw,60
147,,Celia Israel,640
147,,Gary S. Spellman,37
147,,Jennifer Virden,457
147,,Kirk Watson,575
147,,Over Votes,0
147,,Phil Campero Brual,64
147,,Under Votes,461
151,,Anthony Bradshaw,49
151,,Celia Israel,694
151,,Gary S. Spellman,38
151,,Jennifer Virden,552
151,,Kirk Watson,765
151,,Over Votes,0
151,,Phil Campero Brual,51
151,,Under Votes,404
166,,Anthony Bradshaw,8
166,,Celia Israel,23
166,,Gary S. Spellman,2
166,,Jennifer Virden,13
166,,Kirk Watson,21
166,,Over Votes,0
166,,Phil Campero Brual,3
166,,Under Votes,30
174,,Anthony Bradshaw,30
174,,Celia Israel,380
174,,Gary S. Spellman,26
174,,Jennifer Virden,276
174,,Kirk Watson,344
174,,Over Votes,0
174,,Phil Campero Brual,39
174,,Under Votes,292
175,,Anthony Bradshaw,32
175,,Celia Israel,378
175,,Gary S. Spellman,32
175,,Jennifer Virden,349
175,,Kirk Watson,419
175,,Over Votes,0
175,,Phil Campero Brual,49
175,,Under Votes,217
186,,Anthony Bradshaw,50
186,,Celia Israel,281
186,,Gary S. Spellman,54
186,,Jennifer Virden,337
186,,Kirk Watson,475
186,,Over Votes,0
186,,Phil Campero Brual,50
186,,Under Votes,272
189,,Anthony Bradshaw,47
189,,Celia Israel,449
189,,Gary S. Spellman,41
189,,Jennifer Virden,453
189,,Kirk Watson,628
189,,Over Votes,0
189,,Phil Campero Brual,72
189,,Under Votes,415
198,,Anthony Bradshaw,0
198,,Celia Israel,8
198,,Gary S. Spellman,0
198,,Jennifer Virden,6
198,,Kirk Watson,5
198,,Over Votes,0
198,,Phil Campero Brual,1
198,,Under Votes,9
303,,Anthony Bradshaw,47
303,,Celia Israel,301
303,,Gary S. Spellman,32
303,,Jennifer Virden,371
303,,Kirk Watson,447
303,,Over Votes,0
303,,Phil Campero Brual,42
303,,Under Votes,330
317,,Anthony Bradshaw,0
317,,Celia Israel,0
317,,Gary S. Spellman,0
317,,Jennifer Virden,0
317,,Kirk Watson,1
317,,Over Votes,0
317,,Phil Campero Brual,0
317,,Under Votes,0
340,,Anthony Bradshaw,0
340,,Celia Israel,5
340,,Gary S. Spellman,1
340,,Jennifer Virden,19
340,,Kirk Watson,15
340,,Over Votes,0
340,,Phil Campero Brual,0
340,,Under Votes,4
398,,Anthony Bradshaw,2
398,,Celia Israel,1
398,,Gary S. Spellman,0
398,,Jennifer Virden,7
398,,Kirk Watson,2
398,,Over Votes,0
398,,Phil Campero Brual,0
398,,Under Votes,7
399,,Anthony Bradshaw,5
399,,Celia Israel,88
399,,Gary S. Spellman,9
399,,Jennifer Virden,54
399,,Kirk Watson,70
399,,Over Votes,0
399,,Phil Campero Brual,12
399,,Under Votes,65
