precinct,party,candidate,votes
117,,Against,548
117,,For,1318
117,,Over Votes,0
117,,Under Votes,206
118,,Against,694
118,,For,984
118,,Over Votes,0
118,,Under Votes,148
147,,Against,626
147,,For,1520
147,,Over Votes,0
147,,Under Votes,148
151,,Against,809
151,,For,1560
151,,Over Votes,0
151,,Under Votes,184
166,,Against,21
166,,For,70
166,,Over Votes,0
166,,Under Votes,9
174,,Against,435
174,,For,834
174,,Over Votes,0
174,,Under Votes,118
175,,Against,531
175,,For,840
175,,Over Votes,0
175,,Under Votes,105
186,,Against,622
186,,For,777
186,,Over Votes,0
186,,Under Votes,120
189,,Against,790
189,,For,1178
189,,Over Votes,0
189,,Under Votes,137
198,,Against,4
198,,For,22
198,,Over Votes,0
198,,Under Votes,3
303,,Against,681
303,,For,770
303,,Over Votes,0
303,,Under Votes,119
340,,Against,26
340,,For,15
340,,Over Votes,0
340,,Under Votes,2
399,,Against,122
399,,For,150
399,,Over Votes,0
399,,Under Votes,32
