precinct,party,candidate,votes
401,,Over Votes,0
401,,Under Votes,82
401,DEM,Jose Orta,1228
401,REP,Russ Boles,1030
402,,Over Votes,0
402,,Under Votes,74
402,DEM,Jose Orta,1121
402,REP,Russ Boles,1032
403,,Over Votes,0
403,,Under Votes,54
403,DEM,Jose Orta,778
403,REP,Russ Boles,615
409,,Over Votes,0
409,,Under Votes,19
409,DEM,Jose Orta,130
409,REP,Russ Boles,287
410,,Over Votes,0
410,,Under Votes,79
410,DEM,Jose Orta,853
410,REP,Russ Boles,1102
411,,Over Votes,0
411,,Under Votes,36
411,DEM,Jose Orta,365
411,REP,Russ Boles,1080
412,,Over Votes,0
412,,Under Votes,51
412,DEM,Jose Orta,178
412,REP,Russ Boles,695
413,,Over Votes,0
413,,Under Votes,60
413,DEM,Jose Orta,427
413,REP,Russ Boles,1462
415,,Over Votes,0
415,,Under Votes,28
415,DEM,Jose Orta,273
415,REP,Russ Boles,817
418,,Over Votes,0
418,,Under Votes,9
418,DEM,Jose Orta,99
418,REP,Russ Boles,39
419,,Over Votes,0
419,,Under Votes,22
419,DEM,Jose Orta,301
419,REP,Russ Boles,263
420,,Over Votes,0
420,,Under Votes,77
420,DEM,Jose Orta,941
420,REP,Russ Boles,714
421,,Over Votes,0
421,,Under Votes,21
421,DEM,Jose Orta,310
421,REP,Russ Boles,210
422,,Over Votes,0
422,,Under Votes,78
422,DEM,Jose Orta,1256
422,REP,Russ Boles,1025
424,,Over Votes,0
424,,Under Votes,99
424,DEM,Jose Orta,1012
424,REP,Russ Boles,1472
425,,Over Votes,0
425,,Under Votes,11
425,DEM,Jose Orta,88
425,REP,Russ Boles,200
426,,Over Votes,0
426,,Under Votes,32
426,DEM,Jose Orta,257
426,REP,Russ Boles,423
427,,Over Votes,0
427,,Under Votes,36
427,DEM,Jose Orta,641
427,REP,Russ Boles,802
428,,Over Votes,0
428,,Under Votes,43
428,DEM,Jose Orta,646
428,REP,Russ Boles,936
429,,Over Votes,0
429,,Under Votes,28
429,DEM,Jose Orta,547
429,REP,Russ Boles,538
432,,Over Votes,0
432,,Under Votes,9
432,DEM,Jose Orta,117
432,REP,Russ Boles,67
433,,Over Votes,0
433,,Under Votes,120
433,DEM,Jose Orta,1460
433,REP,Russ Boles,1412
434,,Over Votes,0
434,,Under Votes,25
434,DEM,Jose Orta,138
434,REP,Russ Boles,604
436,,Over Votes,0
436,,Under Votes,18
436,DEM,Jose Orta,180
436,REP,Russ Boles,543
437,,Over Votes,0
437,,Under Votes,102
437,DEM,Jose Orta,1453
437,REP,Russ Boles,1353
456,,Over Votes,0
456,,Under Votes,34
456,DEM,Jose Orta,469
456,REP,Russ Boles,454
468,,Over Votes,0
468,,Under Votes,24
468,DEM,Jose Orta,296
468,REP,Russ Boles,236
470,,Over Votes,0
470,,Under Votes,66
470,DEM,Jose Orta,803
470,REP,Russ Boles,1035
471,,Over Votes,0
471,,Under Votes,9
471,DEM,Jose Orta,35
471,REP,Russ Boles,116
472,,Over Votes,0
472,,Under Votes,11
472,DEM,Jose Orta,79
472,REP,Russ Boles,257
473,,Over Votes,0
473,,Under Votes,20
473,DEM,Jose Orta,173
473,REP,Russ Boles,273
482,,Over Votes,0
482,,Under Votes,75
482,DEM,Jose Orta,919
482,REP,Russ Boles,1133
484,,Over Votes,0
484,,Under Votes,60
484,DEM,Jose Orta,1017
484,REP,Russ Boles,866
485,,Over Votes,0
485,,Under Votes,47
485,DEM,Jose Orta,495
485,REP,Russ Boles,497
486,,Over Votes,0
486,,Under Votes,39
486,DEM,Jose Orta,490
486,REP,Russ Boles,542
487,,Over Votes,0
487,,Under Votes,5
487,DEM,Jose Orta,31
487,REP,Russ Boles,55
488,,Over Votes,0
488,,Under Votes,76
488,DEM,Jose Orta,867
488,REP,Russ Boles,874
489,,Over Votes,0
489,,Under Votes,64
489,DEM,Jose Orta,985
489,REP,Russ Boles,878
490,,Over Votes,0
490,,Under Votes,79
490,DEM,Jose Orta,1190
490,REP,Russ Boles,1223
491,,Over Votes,0
491,,Under Votes,95
491,DEM,Jose Orta,1177
491,REP,Russ Boles,884
