precinct,party,candidate,votes
116,,Over Votes,0
116,,Under Votes,45
116,DEM,Rosa Lopez Theofanis,451
116,REP,Lesli R. Fitzpatrick,380
117,,Over Votes,0
117,,Under Votes,92
117,DEM,Rosa Lopez Theofanis,1478
117,REP,Lesli R. Fitzpatrick,570
118,,Over Votes,0
118,,Under Votes,94
118,DEM,Rosa Lopez Theofanis,1092
118,REP,Lesli R. Fitzpatrick,648
119,,Over Votes,0
119,,Under Votes,93
119,DEM,Rosa Lopez Theofanis,1001
119,REP,Lesli R. Fitzpatrick,904
122,,Over Votes,0
122,,Under Votes,7
122,DEM,Rosa Lopez Theofanis,106
122,REP,Lesli R. Fitzpatrick,65
123,,Over Votes,0
123,,Under Votes,66
123,DEM,Rosa Lopez Theofanis,905
123,REP,Lesli R. Fitzpatrick,622
135,,Over Votes,0
135,,Under Votes,53
135,DEM,Rosa Lopez Theofanis,883
135,REP,Lesli R. Fitzpatrick,420
136,,Over Votes,0
136,,Under Votes,10
136,DEM,Rosa Lopez Theofanis,75
136,REP,Lesli R. Fitzpatrick,42
138,,Over Votes,0
138,,Under Votes,24
138,DEM,Rosa Lopez Theofanis,303
138,REP,Lesli R. Fitzpatrick,126
139,,Over Votes,0
139,,Under Votes,74
139,DEM,Rosa Lopez Theofanis,917
139,REP,Lesli R. Fitzpatrick,668
143,,Over Votes,0
143,,Under Votes,12
143,DEM,Rosa Lopez Theofanis,227
143,REP,Lesli R. Fitzpatrick,102
144,,Over Votes,0
144,,Under Votes,13
144,DEM,Rosa Lopez Theofanis,255
144,REP,Lesli R. Fitzpatrick,119
145,,Over Votes,0
145,,Under Votes,49
145,DEM,Rosa Lopez Theofanis,697
145,REP,Lesli R. Fitzpatrick,401
146,,Over Votes,0
146,,Under Votes,100
146,DEM,Rosa Lopez Theofanis,1793
146,REP,Lesli R. Fitzpatrick,823
147,,Over Votes,0
147,,Under Votes,80
147,DEM,Rosa Lopez Theofanis,1641
147,REP,Lesli R. Fitzpatrick,615
149,,Over Votes,0
149,,Under Votes,54
149,DEM,Rosa Lopez Theofanis,767
149,REP,Lesli R. Fitzpatrick,438
150,,Over Votes,0
150,,Under Votes,66
150,DEM,Rosa Lopez Theofanis,1105
150,REP,Lesli R. Fitzpatrick,591
151,,Over Votes,0
151,,Under Votes,103
151,DEM,Rosa Lopez Theofanis,1763
151,REP,Lesli R. Fitzpatrick,725
155,,Over Votes,0
155,,Under Votes,71
155,DEM,Rosa Lopez Theofanis,1047
