precinct,party,candidate,votes
117,,Over Votes,0
117,,Under Votes,100
117,DEM,Rebecca Bell-Metereau,1481
117,REP,Perla Muñoz Hopkins,559
118,,Over Votes,0
118,,Under Votes,86
118,DEM,Rebecca Bell-Metereau,1113
118,REP,Perla Muñoz Hopkins,635
138,,Over Votes,0
138,,Under Votes,27
138,DEM,Rebecca Bell-Metereau,311
138,REP,Perla Muñoz Hopkins,115
146,,Over Votes,0
146,,Under Votes,97
146,DEM,Rebecca Bell-Metereau,1792
146,REP,Perla Muñoz Hopkins,827
147,,Over Votes,0
147,,Under Votes,74
147,DEM,Rebecca Bell-Metereau,1647
147,REP,Perla Muñoz Hopkins,615
151,,Over Votes,0
151,,Under Votes,99
151,DEM,Rebecca Bell-Metereau,1778
151,REP,Perla Muñoz Hopkins,714
162,,Over Votes,0
162,,Under Votes,82
162,DEM,Rebecca Bell-Metereau,1659
162,REP,Perla Muñoz Hopkins,687
174,,Over Votes,0
174,,Under Votes,48
174,DEM,Rebecca Bell-Metereau,953
174,REP,Perla Muñoz Hopkins,419
175,,Over Votes,0
175,,Under Votes,66
175,DEM,Rebecca Bell-Metereau,974
175,REP,Perla Muñoz Hopkins,445
186,,Over Votes,0
186,,Under Votes,79
186,DEM,Rebecca Bell-Metereau,924
186,REP,Perla Muñoz Hopkins,543
189,,Over Votes,0
189,,Under Votes,76
189,DEM,Rebecca Bell-Metereau,1312
189,REP,Perla Muñoz Hopkins,746
303,,Over Votes,0
303,,Under Votes,71
303,DEM,Rebecca Bell-Metereau,932
303,REP,Perla Muñoz Hopkins,589
338,,Over Votes,0
338,,Under Votes,77
338,DEM,Rebecca Bell-Metereau,995
338,REP,Perla Muñoz Hopkins,1016
