precinct,party,candidate,votes
116,,Nathaniel Hellman,159
116,,Over Votes,0
116,,Steve Jackobs,349
116,,Under Votes,365
117,,Nathaniel Hellman,456
117,,Over Votes,0
117,,Steve Jackobs,616
117,,Under Votes,1041
118,,Nathaniel Hellman,364
118,,Over Votes,0
118,,Steve Jackobs,609
118,,Under Votes,859
119,,Nathaniel Hellman,434
119,,Over Votes,0
119,,Steve Jackobs,609
119,,Under Votes,943
122,,Nathaniel Hellman,45
122,,Over Votes,0
122,,Steve Jackobs,57
122,,Under Votes,76
123,,Nathaniel Hellman,423
123,,Over Votes,0
123,,Steve Jackobs,468
123,,Under Votes,690
135,,Nathaniel Hellman,385
135,,Over Votes,0
135,,Steve Jackobs,403
135,,Under Votes,551
136,,Nathaniel Hellman,29
136,,Over Votes,0
136,,Steve Jackobs,30
136,,Under Votes,67
138,,Nathaniel Hellman,86
138,,Over Votes,0
138,,Steve Jackobs,135
138,,Under Votes,220
139,,Nathaniel Hellman,424
139,,Over Votes,0
139,,Steve Jackobs,476
139,,Under Votes,736
143,,Nathaniel Hellman,95
143,,Over Votes,0
143,,Steve Jackobs,111
143,,Under Votes,129
144,,Nathaniel Hellman,83
144,,Over Votes,0
144,,Steve Jackobs,121
144,,Under Votes,179
145,,Nathaniel Hellman,303
145,,Over Votes,0
145,,Steve Jackobs,353
145,,Under Votes,485
146,,Nathaniel Hellman,506
146,,Over Votes,0
146,,Steve Jackobs,884
146,,Under Votes,1314
147,,Nathaniel Hellman,502
147,,Over Votes,0
147,,Steve Jackobs,703
147,,Under Votes,1116
149,,Nathaniel Hellman,353
149,,Over Votes,0
149,,Steve Jackobs,353
149,,Under Votes,537
150,,Nathaniel Hellman,470
150,,Over Votes,0
150,,Steve Jackobs,576
150,,Under Votes,704
151,,Nathaniel Hellman,484
151,,Over Votes,0
151,,Steve Jackobs,864
151,,Under Votes,1227
155,,Nathaniel Hellman,416
155,,Over Votes,0
155,,Steve Jackobs,494
155,,Under Votes,713
162,,Nathaniel Hellman,488
162,,Over Votes,0
162,,Steve Jackobs,820
162,,Under Votes,1116
