precinct,party,candidate,votes
116,,Over Votes,0
116,,Under Votes,35
116,DEM,Raul Camacho,461
116,REP,Terry M. Wilson,380
166,,Over Votes,0
166,,Under Votes,42
166,DEM,Raul Camacho,526
166,REP,Terry M. Wilson,374
173,,Over Votes,0
173,,Under Votes,43
173,DEM,Raul Camacho,788
173,REP,Terry M. Wilson,557
206,,Over Votes,0
206,,Under Votes,33
206,DEM,Raul Camacho,315
206,REP,Terry M. Wilson,1152
207,,Over Votes,0
207,,Under Votes,53
207,DEM,Raul Camacho,450
207,REP,Terry M. Wilson,1584
208,,Over Votes,0
208,,Under Votes,16
208,DEM,Raul Camacho,294
208,REP,Terry M. Wilson,661
209,,Over Votes,0
209,,Under Votes,47
209,DEM,Raul Camacho,575
209,REP,Terry M. Wilson,1668
216,,Over Votes,0
216,,Under Votes,25
216,DEM,Raul Camacho,440
216,REP,Terry M. Wilson,383
230,,Over Votes,0
230,,Under Votes,72
230,DEM,Raul Camacho,1245
230,REP,Terry M. Wilson,1112
231,,Over Votes,0
231,,Under Votes,48
231,DEM,Raul Camacho,511
231,REP,Terry M. Wilson,562
251,,Over Votes,0
251,,Under Votes,1
251,DEM,Raul Camacho,18
251,REP,Terry M. Wilson,38
253,,Over Votes,0
253,,Under Votes,94
253,DEM,Raul Camacho,1102
253,REP,Terry M. Wilson,1478
254,,Over Votes,0
254,,Under Votes,64
254,DEM,Raul Camacho,1074
254,REP,Terry M. Wilson,1092
255,,Over Votes,0
255,,Under Votes,40
255,DEM,Raul Camacho,695
255,REP,Terry M. Wilson,860
256,,Over Votes,0
256,,Under Votes,43
256,DEM,Raul Camacho,626
256,REP,Terry M. Wilson,591
257,,Over Votes,0
257,,Under Votes,84
257,DEM,Raul Camacho,1173
257,REP,Terry M. Wilson,1177
258,,Over Votes,0
258,,Under Votes,9
258,DEM,Raul Camacho,180
258,REP,Terry M. Wilson,160
261,,Over Votes,0
261,,Under Votes,43
261,DEM,Raul Camacho,747
261,REP,Terry M. Wilson,759
262,,Over Votes,0
262,,Under Votes,47
262,DEM,Raul Camacho,625
262,REP,Terry M. Wilson,807
263,,Over Votes,0
263,,Under Votes,46
263,DEM,Raul Camacho,940
263,REP,Terry M. Wilson,936
264,,Over Votes,0
264,,Under Votes,53
264,DEM,Raul Camacho,626
264,REP,Terry M. Wilson,774
266,,Over Votes,0
266,,Under Votes,66
266,DEM,Raul Camacho,917
266,REP,Terry M. Wilson,760
276,,Over Votes,0
276,,Under Votes,40
276,DEM,Raul Camacho,525
276,REP,Terry M. Wilson,528
277,,Over Votes,0
277,,Under Votes,89
277,DEM,Raul Camacho,1434
277,REP,Terry M. Wilson,1276
278,,Over Votes,0
278,,Under Votes,55
278,DEM,Raul Camacho,1281
278,REP,Terry M. Wilson,866
279,,Over Votes,0
279,,Under Votes,2
279,DEM,Raul Camacho,28
279,REP,Terry M. Wilson,33
283,,Over Votes,0
283,,Under Votes,62
283,DEM,Raul Camacho,1024
283,REP,Terry M. Wilson,723
284,,Over Votes,0
284,,Under Votes,94
284,DEM,Raul Camacho,1180
284,REP,Terry M. Wilson,1173
287,,Over Votes,0
287,,Under Votes,44
287,DEM,Raul Camacho,703
287,REP,Terry M. Wilson,641
305,,Over Votes,0
305,,Under Votes,23
305,DEM,Raul Camacho,312
305,REP,Terry M. Wilson,458
306,,Over Votes,0
306,,Under Votes,69
306,DEM,Raul Camacho,757
306,REP,Terry M. Wilson,2222
307,,Over Votes,0
307,,Under Votes,21
307,DEM,Raul Camacho,194
307,REP,Terry M. Wilson,390
308,,Over Votes,0
308,,Under Votes,16
308,DEM,Raul Camacho,155
308,REP,Terry M. Wilson,343
309,,Over Votes,0
309,,Under Votes,54
309,DEM,Raul Camacho,504
309,REP,Terry M. Wilson,1638
310,,Over Votes,0
310,,Under Votes,22
310,DEM,Raul Camacho,215
310,REP,Terry M. Wilson,818
312,,Over Votes,0
312,,Under Votes,13
312,DEM,Raul Camacho,174
312,REP,Terry M. Wilson,500
314,,Over Votes,0
314,,Under Votes,77
314,DEM,Raul Camacho,1063
314,REP,Terry M. Wilson,999
341,,Over Votes,0
341,,Under Votes,37
341,DEM,Raul Camacho,540
341,REP,Terry M. Wilson,909
367,,Over Votes,0
367,,Under Votes,1
367,DEM,Raul Camacho,24
367,REP,Terry M. Wilson,32
368,,Over Votes,0
368,,Under Votes,73
368,DEM,Raul Camacho,916
368,REP,Terry M. Wilson,869
370,,Over Votes,0
370,,Under Votes,37
370,DEM,Raul Camacho,629
370,REP,Terry M. Wilson,799
371,,Over Votes,0
371,,Under Votes,49
371,DEM,Raul Camacho,570
371,REP,Terry M. Wilson,897
379,,Over Votes,0
379,,Under Votes,52
379,DEM,Raul Camacho,665
379,REP,Terry M. Wilson,1680
380,,Over Votes,0
380,,Under Votes,4
380,DEM,Raul Camacho,20
380,REP,Terry M. Wilson,55
381,,Over Votes,0
381,,Under Votes,60
381,DEM,Raul Camacho,840
381,REP,Terry M. Wilson,1811
391,,Over Votes,0
391,,Under Votes,12
391,DEM,Raul Camacho,250
391,REP,Terry M. Wilson,674
392,,Over Votes,0
392,,Under Votes,72
392,DEM,Raul Camacho,801
392,REP,Terry M. Wilson,1622
393,,Over Votes,0
393,,Under Votes,72
393,DEM,Raul Camacho,788
393,REP,Terry M. Wilson,1660
394,,Over Votes,0
394,,Under Votes,43
394,DEM,Raul Camacho,885
394,REP,Terry M. Wilson,1757
395,,Over Votes,0
