precinct,party,candidate,votes
413,,AGAINST,119
413,,FOR,165
413,,Over Votes,0
413,,Under Votes,17
427,,AGAINST,513
427,,FOR,903
427,,Over Votes,0
427,,Under Votes,58
428,,AGAINST,545
428,,FOR,1008
428,,Over Votes,0
428,,Under Votes,65
429,,AGAINST,356
429,,FOR,669
429,,Over Votes,0
429,,Under Votes,53
434,,AGAINST,40
434,,FOR,35
434,,Over Votes,0
434,,Under Votes,4
436,,AGAINST,33
436,,FOR,39
436,,Over Votes,0
436,,Under Votes,6
456,,AGAINST,325
456,,FOR,562
456,,Over Votes,0
456,,Under Votes,45
