precinct,party,candidate,votes
101,,Over Votes,0
101,,Under Votes,33
101,DEM,Irene Rios,656
101,REP,Todd McCray,1358
102,,Over Votes,0
102,,Under Votes,47
102,DEM,Irene Rios,478
102,REP,Todd McCray,403
103,,Over Votes,1
103,,Under Votes,25
103,DEM,Irene Rios,316
103,REP,Todd McCray,607
104,,Over Votes,0
104,,Under Votes,25
104,DEM,Irene Rios,167
104,REP,Todd McCray,521
205,,Over Votes,0
205,,Under Votes,59
205,DEM,Irene Rios,251
205,REP,Todd McCray,1416
206,,Over Votes,0
206,,Under Votes,32
206,DEM,Irene Rios,409
206,REP,Todd McCray,768
207,,Over Votes,0
207,,Under Votes,56
207,DEM,Irene Rios,450
207,REP,Todd McCray,1350
311,,Over Votes,0
311,,Under Votes,40
311,DEM,Irene Rios,199
311,REP,Todd McCray,1323
312,,Over Votes,0
312,,Under Votes,38
312,DEM,Irene Rios,209
312,REP,Todd McCray,1390
313,,Over Votes,0
313,,Under Votes,43
313,DEM,Irene Rios,301
313,REP,Todd McCray,1697
414,,Over Votes,0
414,,Under Votes,42
414,DEM,Irene Rios,216
414,REP,Todd McCray,1304
415,,Over Votes,0
415,,Under Votes,35
415,DEM,Irene Rios,416
415,REP,Todd McCray,1687
416,,Over Votes,0
416,,Under Votes,18
416,DEM,Irene Rios,225
416,REP,Todd McCray,1010
