precinct,party,candidate,votes
1-1,DEM,Elizabeth Davis Frizell,329
1-1,REP,Bert Richardson,1827
1-2,DEM,Elizabeth Davis Frizell,243
1-2,REP,Bert Richardson,1679
1-3,DEM,Elizabeth Davis Frizell,214
1-3,REP,Bert Richardson,1393
1-4,DEM,Elizabeth Davis Frizell,39
1-4,REP,Bert Richardson,499
2-1,DEM,Elizabeth Davis Frizell,36
2-1,REP,Bert Richardson,311
2-2,DEM,Elizabeth Davis Frizell,414
2-2,REP,Bert Richardson,2252
2-3,DEM,Elizabeth Davis Frizell,409
2-3,REP,Bert Richardson,1716
3-1,DEM,Elizabeth Davis Frizell,129
3-1,REP,Bert Richardson,763
3-2,DEM,Elizabeth Davis Frizell,384
3-2,REP,Bert Richardson,2064
3-3,DEM,Elizabeth Davis Frizell,424
3-3,REP,Bert Richardson,1973
4-1,DEM,Elizabeth Davis Frizell,69
4-1,REP,Bert Richardson,509
4-2,DEM,Elizabeth Davis Frizell,242
4-2,REP,Bert Richardson,1631
4-3,DEM,Elizabeth Davis Frizell,314
4-3,REP,Bert Richardson,1812
4-4,DEM,Elizabeth Davis Frizell,51
4-4,REP,Bert Richardson,419
