precinct,party,candidate,votes
1-1,DEM,Chrysta Castaneda,292
1-1,GRN,"Katija ""Kat"" Gruene",11
1-1,LIB,Matt Sterett,45
1-1,REP,"James ""Jim"" Wright",1814
1-2,DEM,Chrysta Castaneda,234
1-2,GRN,"Katija ""Kat"" Gruene",10
1-2,LIB,Matt Sterett,13
1-2,REP,"James ""Jim"" Wright",1679
1-3,DEM,Chrysta Castaneda,197
1-3,GRN,"Katija ""Kat"" Gruene",4
1-3,LIB,Matt Sterett,22
1-3,REP,"James ""Jim"" Wright",1383
1-4,DEM,Chrysta Castaneda,39
1-4,GRN,"Katija ""Kat"" Gruene",1
1-4,LIB,Matt Sterett,11
1-4,REP,"James ""Jim"" Wright",491
2-1,DEM,Chrysta Castaneda,30
2-1,GRN,"Katija ""Kat"" Gruene",2
2-1,LIB,Matt Sterett,4
2-1,REP,"James ""Jim"" Wright",311
2-2,DEM,Chrysta Castaneda,389
2-2,GRN,"Katija ""Kat"" Gruene",14
2-2,LIB,Matt Sterett,55
2-2,REP,"James ""Jim"" Wright",2215
2-3,DEM,Chrysta Castaneda,388
2-3,GRN,"Katija ""Kat"" Gruene",11
2-3,LIB,Matt Sterett,54
2-3,REP,"James ""Jim"" Wright",1683
3-1,DEM,Chrysta Castaneda,118
3-1,GRN,"Katija ""Kat"" Gruene",4
3-1,LIB,Matt Sterett,13
3-1,REP,"James ""Jim"" Wright",757
3-2,DEM,Chrysta Castaneda,357
3-2,GRN,"Katija ""Kat"" Gruene",14
3-2,LIB,Matt Sterett,32
3-2,REP,"James ""Jim"" Wright",2039
3-3,DEM,Chrysta Castaneda,376
3-3,GRN,"Katija ""Kat"" Gruene",23
3-3,LIB,Matt Sterett,64
3-3,REP,"James ""Jim"" Wright",1942
4-1,DEM,Chrysta Castaneda,63
4-1,GRN,"Katija ""Kat"" Gruene",5
4-1,LIB,Matt Sterett,8
4-1,REP,"James ""Jim"" Wright",502
4-2,DEM,Chrysta Castaneda,229
4-2,GRN,"Katija ""Kat"" Gruene",7
4-2,LIB,Matt Sterett,29
4-2,REP,"James ""Jim"" Wright",1626
4-3,DEM,Chrysta Castaneda,290
4-3,GRN,"Katija ""Kat"" Gruene",13
4-3,LIB,Matt Sterett,61
4-3,REP,"James ""Jim"" Wright",1772
4-4,DEM,Chrysta Castaneda,46
4-4,GRN,"Katija ""Kat"" Gruene",3
4-4,LIB,Matt Sterett,14
4-4,REP,"James ""Jim"" Wright",408
