precinct,party,candidate,votes
10,DEM,Chrysta Castaneda,21
10,GRN,"Katija ""Kat"" Gruene",0
10,LIB,Matt Sterett,5
10,REP,"James ""Jim"" Wright",280
16,DEM,Chrysta Castaneda,5
16,GRN,"Katija ""Kat"" Gruene",1
16,LIB,Matt Sterett,1
16,REP,"James ""Jim"" Wright",186
20,DEM,Chrysta Castaneda,16
20,GRN,"Katija ""Kat"" Gruene",0
20,LIB,Matt Sterett,3
20,REP,"James ""Jim"" Wright",158
22,DEM,Chrysta Castaneda,205
22,GRN,"Katija ""Kat"" Gruene",7
22,LIB,Matt Sterett,32
22,REP,"James ""Jim"" Wright",2083
23,DEM,Chrysta Castaneda,174
23,GRN,"Katija ""Kat"" Gruene",9
23,LIB,Matt Sterett,31
23,REP,"James ""Jim"" Wright",1189
24,DEM,Chrysta Castaneda,184
24,GRN,"Katija ""Kat"" Gruene",6
24,LIB,Matt Sterett,23
24,REP,"James ""Jim"" Wright",1023
5,DEM,Chrysta Castaneda,245
5,GRN,"Katija ""Kat"" Gruene",14
5,LIB,Matt Sterett,36
5,REP,"James ""Jim"" Wright",1784
6,DEM,Chrysta Castaneda,13
6,GRN,"Katija ""Kat"" Gruene",1
6,LIB,Matt Sterett,0
6,REP,"James ""Jim"" Wright",152
7,DEM,Chrysta Castaneda,7
7,GRN,"Katija ""Kat"" Gruene",1
7,LIB,Matt Sterett,1
7,REP,"James ""Jim"" Wright",129
