precinct,party,candidate,votes
1,,Antonio Ramirez,66
1,,Cruz Mata,195
1,,Gus Rios,93
1,,"Jose Uribes, Jr.",109
1,,Martina Rios Delgado,68
1,,Nora Flores Guerrero,185
1,,Norma Gonzales Olivarez,51
1,,Over Votes,0
1,,Peggy Young,134
1,,Ray Espinosa,219
1,,Roberto F. Velasquez,45
1,,Under Votes,559
2,,Antonio Ramirez,218
2,,Cruz Mata,669
2,,Gus Rios,338
2,,"Jose Uribes, Jr.",348
2,,Martina Rios Delgado,200
2,,Nora Flores Guerrero,540
2,,Norma Gonzales Olivarez,151
2,,Over Votes,0
2,,Peggy Young,422
2,,Ray Espinosa,648
2,,Roberto F. Velasquez,157
2,,Under Votes,1333
3,,Antonio Ramirez,185
3,,Cruz Mata,574
3,,Gus Rios,351
3,,"Jose Uribes, Jr.",324
3,,Martina Rios Delgado,148
3,,Nora Flores Guerrero,533
3,,Norma Gonzales Olivarez,156
3,,Over Votes,0
3,,Peggy Young,383
3,,Ray Espinosa,586
3,,Roberto F. Velasquez,123
3,,Under Votes,1605
4,,Antonio Ramirez,91
4,,Cruz Mata,212
4,,Gus Rios,119
4,,"Jose Uribes, Jr.",106
4,,Martina Rios Delgado,73
4,,Nora Flores Guerrero,201
4,,Norma Gonzales Olivarez,54
4,,Over Votes,0
4,,Peggy Young,180
4,,Ray Espinosa,193
4,,Roberto F. Velasquez,54
4,,Under Votes,625
